
---====05:58:05====---

[05:58:05]  (( Полковник Faust_Blackwood: /ffixcar 10 sec, займите авто. ))
[05:58:06]  (( Сержант Daiki_Bauer: thx ))
[05:58:10]  (( Полковник Faust_Blackwood: /ffixcar 5 sec, займите авто. ))
[05:58:52]  Мл.Лейтенант Isaac_Fisher[632]: [Supervisor of CPD] Провожу 10-55, сектор: К-20. Напарники: T.Kaneko. 10-6, over-over
[05:59:16]  Лейтенант Tekeo_Kaneko[663]: [Spec. Agent of CSI] Преследую фиолетовый Sultan без номеров
[05:59:18]  Лейтенант Tekeo_Kaneko[663]: [Spec. Agent of CSI] Местоположение: Южная автострада имени Юлиуса, К-19. GPS: 1558.5, 837.3, 6.5
[05:59:21]  Мл.Лейтенант Isaac_Fisher[632]: [Supervisor of CPD] 10-4, присоединяюсь к погоне за Sultan без номеров
[05:59:33]  Лейтенант Tekeo_Kaneko[663]: [Spec. Agent of CSI] Преследую фиолетовый Sultan без номеров
[05:59:35]  Лейтенант Tekeo_Kaneko[663]: [Spec. Agent of CSI] Местоположение: Пустынный Округ, Л-15. GPS: 520.3, 703.9, 3.2
[05:59:35]  Капитан Younes_Perigosa[614]: «Inspector of PA» 10-4, присоединяюсь к погоне за Sultan без номеров
[05:59:46]  Капитан Mona_Liza[608]: «SWAT» swat 10-8
[05:59:50]  Лейтенант Tekeo_Kaneko[663]: [Spec. Agent of CSI] Преследую фиолетовый Sultan без номеров
[05:59:51]  Лейтенант Tekeo_Kaneko[663]: [Spec. Agent of CSI] Местоположение: Пустынный Округ, Л-13. GPS: 19.1, 642.3, 7.4
[06:00:08]  (( Мл.Лейтенант Sasha_Sunside: Tekeo_Kaneko ты где ))
[06:00:09]  Лейтенант Tekeo_Kaneko[663]: [Spec. Agent of CSI] Преследую фиолетовый Sultan без номеров
[06:00:11]  Лейтенант Tekeo_Kaneko[663]: [Spec. Agent of CSI] Местоположение: Тьерра Робада, К-9. GPS: -846.4, 985.2, 24.3
[06:00:12]  Майор Dennis_Perchinskyi[709]: «Director of O.C.O.» 10-4, присоединяюсь к погоне за Sultan без номеров
[06:00:25]  Лейтенант Tekeo_Kaneko[663]: [Spec. Agent of CSI] Преследую фиолетовый Sultan без номеров
[06:00:26]  Лейтенант Tekeo_Kaneko[663]: [Spec. Agent of CSI] Местоположение: Сан-Фиерро, К-7. GPS: -1346.2, 894.7, 46.3
[06:00:31]  (( Мл.Лейтенант Sasha_Sunside: Tekeo_Kaneko после погоне забирай мне я у гараже ))
[06:00:33]  (( Мл.Лейтенант Sasha_Sunside: Tekeo_Kaneko после погоне забирай мне я у гараже ))
[06:01:54]  (( Лейтенант Tekeo_Kaneko: 462 ))
[06:01:57]  (( Лейтенант Tekeo_Kaneko: 268 ))
[06:03:48]  (( Мл.Лейтенант Sasha_Sunside: Tekeo_Kaneko ты где ))
[06:04:49]  Jason_Statkham взял(а) ключи от камеры. Причина: ворк
[06:05:35]  (( Мл.Лейтенант Sasha_Sunside: Tekeo_Kaneko ты где ))
